location,total_properties,total_value_inr,avg_price_inr,median_price_inr,avg_area_sqft,median_price_per_sqft_inr
Bangalore,23259,234066620000.0,10063485.962423148,8500000.0,1336.0793671267036,6607.0
Kolkata,21604,188119170000.0,8707608.313275319,5100000.0,1081.2930012960562,4792.0
New-Delhi,21220,362030890000.0,17060833.647502355,17500000.0,1256.1294062205466,10667.0
Gurgaon,18701,404872590000.0,21649782.899310198,15700000.0,1675.7247206031764,9631.0
Hyderabad,11127,169817140000.0,15261718.342769839,8200000.0,1560.0753123034062,6018.0
Chennai,10157,115794590000.0,11400471.595943684,6900000.0,1260.6620064979818,6072.8744939271255
Ahmedabad,9127,91082480000.0,9979454.36616632,6500000.0,1452.928673167525,5000.0
Jaipur,7859,50695300000.0,6450604.40259575,5100000.0,1285.2693726937268,3799.0
Greater-Noida,4481,34570300000.0,7714862.753849587,6400000.0,1221.7978129881724,5292.0
Faridabad,3255,28183000000.0,8658371.73579109,7490000.000000001,1494.4823348694317,4667.0
Vadodara,2350,25524680000.0,10861565.957446808,3900000.0,1133.5889361702127,3230.0
Surat,2176,18403950000.0,8457697.610294119,5700000.0,1521.296875,3984.5
Pune,2175,22909350000.0,10533034.48275862,7000000.0,1046.6432183908046,6948.0
Thane,1867,18142050000.0,9717220.139260847,7000000.0,700.5152651312266,9870.0
Mumbai,1814,60865000000.0,33552921.7199559,21000000.0,937.9294377067255,21432.5
Visakhapatnam,1720,12052230000.0,7007110.465116279,5500000.0,1222.321511627907,4517.5
Zirakpur,1453,9897260000.0,6811603.578802478,6390000.0,1349.476944253269,3964.0
Mohali,1415,11657810000.0,8238734.982332155,6550000.0,1293.104593639576,4394.0
Chandigarh,1376,11002930000.0,7996315.4069767445,7205000.0,1359.3081395348838,4342.0
Noida,1246,13995440000.0,11232295.345104333,8500000.0,1358.4831460674156,6275.5
Goa,1144,11260590000.0,9843173.076923076,7100000.0,479.4361888111888,7004.0
Ranchi,1063,6543710000.0,6155888.993414864,5550000.0,1255.947318908749,4186.0
Bhiwadi,1035,2820130000.0,2724763.2850241545,2500000.0,1472.272463768116,2400.0
Kochi,1028,11303670000.0,10995787.93774319,7900000.0,1591.7130350194552,5352.0
Dehradun,939,7611500000.0,8105963.791267306,6500000.0,1428.3482428115017,4838.0
Ghaziabad,870,6863980000.0,7889632.183908046,6100000.0,1222.4586206896552,4923.0
Lucknow,813,6327370000.0,7782742.927429275,6900000.0,1213.7785977859778,5100.0
Patna,761,6097710000.0,8012759.526938239,7200000.0,1180.1222076215506,5726.0
Kanpur,752,5325090000.0,7081236.70212766,5550000.0,1177.6449468085107,4673.0
Guwahati,749,5635880000.0,7524539.385847797,6000000.0,2174.2523364485983,4900.0
Sonipat,696,3971160000.0,5705689.655172414,5000000.0,1551.1896551724137,3077.0
Navi-Mumbai,691,7616760000.0,11022807.525325615,8500000.0,862.0347322720695,8980.0
Nagpur,624,3583180000.0,5742275.641025641,5000000.0,1031.4423076923076,4522.615384615385
Jamshedpur,619,2997800000.0,4842972.53634895,4200000.0,1118.0888529886915,3714.0
Kalyan,591,2996610000.0,5070406.091370558,4500000.0,617.0304568527919,6943.0
Coimbatore,584,3975330000.0,6807071.917808219,6000000.0,1256.833904109589,4824.0
Vijayawada,545,3013700000.0,5529724.770642201,4500000.0,1179.5559633027524,3913.0434782608695
Raipur,495,8125720000.0,16415595.95959596,3300000.0,1049.8565656565656,3100.0
Palghar,495,1352820000.0,2732969.696969697,2400000.0,579.9535353535354,4000.0
Aurangabad,443,1771660000.0,3999232.5056433408,3500000.0,929.4604966139955,4245.0
Mangalore,442,2823300000.0,6387556.561085973,5300000.0,1271.5113122171945,4444.0
Agra,426,2302270000.0,5404389.671361502,4475000.0,2175.5798122065726,3600.0
Bhubaneswar,392,3444090000.0,8785943.877551021,7800000.0,1285.3367346938776,5852.0
Siliguri,389,7014230000.0,18031439.588688947,4000000.0,2570.9280205655527,3600.0
Badlapur,386,1160760000.0,3007150.2590673575,2700000.0,736.041450777202,4105.0
Panchkula,315,5193560000.0,16487492.063492063,15000000.0,1766.3015873015872,7346.0
Varanasi,267,2537800000.0,9504868.913857678,5600000.0,1114.6179775280898,5016.0
Guntur,264,1621060000.0,6140378.787878788,5290000.0,1402.2386363636363,3841.576923076923
Nashik,243,1194020000.0,4913662.551440329,4500000.0,962.9506172839506,4609.0
Trivandrum,205,1792290000.0,8742878.048780488,7500000.0,1384.4926829268293,5700.0
Thrissur,205,1312490000.0,6402390.243902439,5400000.0,1665.448780487805,4456.0
Mysore,180,1605110000.0,8917277.777777778,7000000.0,1369.0222222222221,5486.5
Ernakulam,175,1384690000.0,7912514.285714285,6000000.0,1378.6685714285713,4980.0
Haridwar,175,551330000.0,3150457.1428571427,3000000.0,849.5257142857142,3388.0
Allahabad,173,1359180000.0,7856531.791907514,6500000.0,990.0924855491329,6098.0
Vapi,149,425440000.0,2855302.013422819,2220000.0,951.2080536912752,2485.0
Gwalior,148,625380000.0,4225540.540540541,3500000.0,999.0405405405405,3665.0
Durgapur,148,499210000.0,3373040.5405405406,3000000.0,971.3851351351351,2853.5
Ludhiana,138,1361230000.0,9863985.507246377,7750000.0,1630.8260869565217,5654.5
Indore,120,981330000.0,8177750.0,4850000.0,1463.3083333333334,4041.0
Udaipur,119,638720000.0,5367394.957983193,4800000.0,1283.7899159663866,3575.0
Jabalpur,119,477370000.0,4011512.6050420166,3500000.0,960.9663865546219,3704.0
Bhopal,118,401640000.0,3403728.813559322,2995000.0,1008.7796610169491,2911.0
Trichy,117,652510000.0,5577008.547008547,4600000.0,1048.4017094017095,5189.0
Tirupati,89,516090000.0,5798764.044943821,5600000.0,1273.2247191011236,4127.0
Rajahmundry,89,483720000.0,5435056.179775281,4500000.0,1188.9213483146068,3800.0
Bhiwandi,88,494950000.0,5624431.818181818,3950000.0,632.2159090909091,5820.362068965517
Belgaum,60,291170000.0,4852833.333333333,4200000.0,1076.75,4000.0
Udupi,60,258230000.0,4303833.333333333,3800000.0,1173.5333333333333,3300.5
Jodhpur,59,270490000.0,4584576.27118644,3700000.0,961.4067796610169,3885.135135135135
Satara,59,212390000.0,3599830.5084745763,2400000.0,800.5762711864406,3273.0
Kozhikode,58,533530000.0,9198793.103448275,8000000.0,1374.551724137931,5808.5
Shimla,58,437640000.0,7545517.24137931,6500000.0,1118.7068965517242,6398.0
Vrindavan,57,443880000.0,7787368.421052632,3000000.0,647.4912280701755,5155.0
Palakkad,30,153300000.0,5110000.0,4650000.0,1239.5,3942.5
Navsari,30,81410000.0,2713666.6666666665,2550000.0,1101.1,2175.5
Pondicherry,29,171210000.0,5903793.1034482755,4300000.0,1251.103448275862,4095.0
Nellore,29,133450000.0,4601724.137931035,3700000.0,1164.0344827586207,3619.0
Solapur,29,99200000.0,3420689.6551724137,3200000.0,867.6206896551724,3582.0
Ahmadnagar,29,129740000.0,4473793.1034482755,3000000.0,767.3103448275862,4000.0
Madurai,26,141150000.0,5428846.153846154,5500000.0,1051.3076923076924,4935.064935064935
